control,corruption,severity,mean,std,minimum,maximum,seeds
baseline,glass_blur,3,0.9133333333333328,1.1750035460939399,0.21999999999999886,2.2699999999999996,3
baseline,glass_blur,4,1.5833333333333328,0.6137045977775741,0.879999999999999,2.0100000000000016,3
baseline,glass_blur,5,1.0600000000000012,0.700642562224135,0.46000000000000085,1.8300000000000018,3
baseline,impulse_noise,1,8.833333333333334,1.0106598504607474,7.890000000000001,9.900000000000006,3
baseline,impulse_noise,2,7.936666666666667,2.0750502001959723,5.869999999999997,10.020000000000003,3
baseline,impulse_noise,3,3.056666666666666,2.0170357788927142,0.889999999999997,4.879999999999999,3
baseline,impulse_noise,4,-0.19333333333333336,0.8723149278404745,-1.1999999999999993,0.33999999999999986,3
baseline,impulse_noise,5,-1.0633333333333335,0.6470188044665574,-1.5,-0.3200000000000003,3
baseline,jpeg_compression,1,-2.719999999999999,0.8407139822793479,-3.539999999999999,-1.8599999999999994,3
baseline,jpeg_compression,2,-4.356666666666669,0.85704920123254,-5.310000000000002,-3.6499999999999986,3
baseline,jpeg_compression,3,-5.030000000000001,0.8464041587799527,-5.93,-4.25,3
baseline,jpeg_compression,4,-5.999999999999997,0.7543871685016936,-6.859999999999999,-5.449999999999996,3
baseline,jpeg_compression,5,-6.06666666666667,0.8212389014978135,-6.940000000000005,-5.310000000000002,3
baseline,motion_blur,1,1.9833333333333343,0.47353282181210077,1.5700000000000074,2.5,3
baseline,motion_blur,2,1.4033333333333313,0.24193663082165556,1.1299999999999955,1.5899999999999963,3
baseline,motion_blur,3,0.46999999999999886,0.17349351572897706,0.269999999999996,0.5799999999999983,3
baseline,motion_blur,4,0.423333333333332,0.39208842540087024,0.00999999999999801,0.7899999999999991,3
baseline,motion_blur,5,0.2566666666666677,0.5750072463311563,-0.37000000000000455,0.7600000000000051,3
baseline,pixelate,1,1.2433333333333347,0.5340724045795023,0.9299999999999926,1.8599999999999994,3
baseline,pixelate,2,-0.2566666666666701,0.86950177304784,-1.220000000000006,0.46999999999999886,3
baseline,pixelate,3,-2.4733333333333314,0.55806212318463,-3.1000000000000014,-2.029999999999994,3
baseline,pixelate,4,-10.0,1.4466858677681191,-10.870000000000001,-8.330000000000002,3
baseline,pixelate,5,-10.233333333333334,1.0281212639243156,-11.020000000000001,-9.070000000000002,3
baseline,shot_noise,1,-4.126666666666665,1.4709634031250878,-5.740000000000002,-2.8599999999999994,3
baseline,shot_noise,2,-7.423333333333329,1.560715647814594,-9.139999999999993,-6.089999999999996,3
baseline,shot_noise,3,-6.276666666666666,1.2909040759612347,-7.459999999999999,-4.900000000000002,3
baseline,shot_noise,4,-5.036666666666666,1.5291936873180376,-6.220000000000001,-3.3099999999999987,3
baseline,shot_noise,5,-3.4899999999999998,1.1777945491468371,-4.17,-2.129999999999999,3
baseline,snow,1,4.423333333333342,0.3162804662531873,4.070000000000007,4.680000000000007,3
baseline,snow,2,3.8100000000000023,1.2406852945046134,2.740000000000002,5.170000000000002,3
baseline,snow,3,4.3833333333333355,1.1658616270095419,3.3200000000000003,5.630000000000003,3
baseline,snow,4,2.963333333333329,0.5101307022061454,2.4599999999999937,3.479999999999997,3
baseline,snow,5,1.0966666666666665,1.5556777729765683,0.10999999999999943,2.8900000000000006,3
baseline,zoom_blur,1,1.9066666666666663,0.18583146486354984,1.7000000000000028,2.0600000000000023,3
baseline,zoom_blur,2,1.1833333333333325,0.32624121954978874,0.8999999999999986,1.5399999999999991,3
baseline,zoom_blur,3,0.5666666666666652,0.6642539674953648,-0.1700000000000017,1.1199999999999974,3
baseline,zoom_blur,4,-0.340000000000001,0.678454125199338,-1.1099999999999994,0.1700000000000017,3
baseline,zoom_blur,5,-1.0799999999999983,0.18734993995195223,-1.2899999999999991,-0.9299999999999997,3
cutmix_p1,brightness,1,-0.6166666666666742,0.028867513459479646,-0.6500000000000057,-0.6000000000000085,3
cutmix_p1,brightness,2,-0.47999999999999926,0.20518284528683056,-0.6799999999999926,-0.269999999999996,3
cutmix_p1,brightness,3,-0.6166666666666648,0.18009256878986885,-0.7399999999999949,-0.4099999999999966,3
cutmix_p1,brightness,4,-0.21666666666666382,0.765658757759181,-1.0799999999999983,0.37999999999999545,3
cutmix_p1,brightness,5,-0.07000000000000028,1.164345309605358,-1.1399999999999935,1.1700000000000017,3
cutmix_p1,contrast,1,-0.3299999999999983,0.4788527957525174,-0.769999999999996,0.18000000000000682,3
cutmix_p1,contrast,2,0.3166666666666629,0.1361371857110834,0.20999999999999375,0.46999999999999886,3
cutmix_p1,contrast,3,0.8033333333333369,0.52538874496256,0.20000000000000284,1.1600000000000037,3
cutmix_p1,contrast,4,1.4333333333333325,1.1625116486871574,0.10999999999999943,2.289999999999999,3
cutmix_p1,contrast,5,1.4466666666666665,0.49923274465256584,1.0299999999999976,2.0,3
cutmix_p1,defocus_blur,1,-0.3166666666666629,0.25813433195399127,-0.4899999999999949,-0.01999999999999602,3
cutmix_p1,defocus_blur,2,0.26666666666667044,0.6539367961304329,-0.21999999999999886,1.0100000000000051,3
cutmix_p1,defocus_blur,3,0.37333333333333485,0.43247350593225087,-0.030000000000001137,0.8299999999999983,3
cutmix_p1,defocus_blur,4,-0.3200000000000003,0.7019259220174182,-1.1300000000000026,0.10999999999999943,3
cutmix_p1,defocus_blur,5,0.14333333333333442,0.7251436639269044,-0.5899999999999999,0.860000000000003,3
cutmix_p1,elastic_transform,1,-0.15333333333332652,0.32715949219507184,-0.39000000000000057,0.22000000000001307,3
cutmix_p1,elastic_transform,2,0.043333333333331815,0.4521430452117294,-0.28000000000000114,0.5600000000000023,3
cutmix_p1,elastic_transform,3,0.330000000000003,0.19287301521986236,0.10999999999999943,0.47000000000000597,3
cutmix_p1,elastic_transform,4,1.43333333333333,1.0281212639243171,0.269999999999996,2.219999999999999,3
cutmix_p1,elastic_transform,5,2.199999999999998,0.6450581369148043,1.6499999999999986,2.9099999999999966,3
cutmix_p1,fog,1,-0.3966666666666659,0.13051181300301223,-0.5,-0.25,3
cutmix_p1,fog,2,-0.05333333333332746,0.3982880029995052,-0.4899999999999949,0.29000000000000625,3
cutmix_p1,fog,3,0.2100000000000032,0.8098765338000586,-0.3400000000000034,1.1400000000000006,3
cutmix_p1,fog,4,0.38333333333333286,0.7454081655934102,-0.21000000000000085,1.2199999999999989,3
cutmix_p1,fog,5,-0.010000000000000378,1.4982322917358302,-0.8800000000000026,1.7199999999999989,3
cutmix_p1,frost,1,0.013333333333340155,0.4957149718672387,-0.3399999999999892,0.5800000000000125,3
cutmix_p1,frost,2,0.5566666666666672,0.5862024678669745,-0.11999999999999744,0.9099999999999966,3
cutmix_p1,frost,3,0.6233333333333325,1.344408172146139,-0.9099999999999966,1.5999999999999943,3
cutmix_p1,frost,4,0.2766666666666661,1.4700453507743685,-1.4200000000000017,1.1700000000000017,3
cutmix_p1,frost,5,0.7199999999999989,1.6272983746074356,-1.1300000000000026,1.9299999999999962,3
cutmix_p1,gaussian_noise,1,8.85,4.007754982530747,4.409999999999997,12.200000000000003,3
cutmix_p1,gaussian_noise,2,6.0566666666666675,3.276497113280176,2.280000000000001,8.139999999999999,3
cutmix_p1,gaussian_noise,3,3.6633333333333336,1.5451321410589232,1.8900000000000006,4.720000000000001,3
cutmix_p1,gaussian_noise,4,2.729999999999999,1.3387680904473336,1.2699999999999996,3.8999999999999995,3
cutmix_p1,gaussian_noise,5,1.9099999999999995,0.9406380813043881,0.8299999999999992,2.55,3
cutmix_p1,glass_blur,1,-0.03999999999999796,0.6773477688750443,-0.5799999999999983,0.7200000000000024,3
