seed,corruption,accuracy_p05,accuracy_control,control,delta
43,jpeg_compression,47.622,45.239999999999995,cutmix_p1,2.382000000000005
43,motion_blur,54.468,53.477999999999994,cutmix_p1,0.9900000000000091
43,pixelate,47.980000000000004,45.87,cutmix_p1,2.1100000000000065
43,shot_noise,25.34,18.034,cutmix_p1,7.306000000000001
43,snow,56.303999999999995,56.696000000000005,cutmix_p1,-0.3920000000000101
43,zoom_blur,52.572,53.02,cutmix_p1,-0.4480000000000004
44,brightness,74.11999999999999,74.11,cutmix_p1,0.009999999999990905
44,contrast,55.338,55.108000000000004,cutmix_p1,0.22999999999999687
44,defocus_blur,60.374,60.105999999999995,cutmix_p1,0.2680000000000078
44,elastic_transform,61.35600000000001,60.34400000000001,cutmix_p1,1.0120000000000005
44,fog,64.488,63.702,cutmix_p1,0.7860000000000014
44,frost,48.086,48.87,cutmix_p1,-0.7839999999999989
44,gaussian_noise,15.962,13.825999999999999,cutmix_p1,2.136000000000001
44,glass_blur,21.56,21.546,cutmix_p1,0.013999999999999346
44,impulse_noise,27.136000000000003,27.538,cutmix_p1,-0.40199999999999747
44,jpeg_compression,46.942,45.586,cutmix_p1,1.3560000000000016
44,motion_blur,54.348,53.574,cutmix_p1,0.7740000000000009
44,pixelate,47.342,45.848,cutmix_p1,1.4939999999999998
44,shot_noise,23.880000000000003,21.012,cutmix_p1,2.868000000000002
44,snow,56.779999999999994,58.096000000000004,cutmix_p1,-1.3160000000000096
44,zoom_blur,53.508,53.958000000000006,cutmix_p1,-0.45000000000000284
