method,corruption,severity,mean,std,seeds
baseline,shot_noise,2,42.82666666666666,0.36018513757973886,3
baseline,shot_noise,3,23.02,0.5915234568468085,3
baseline,shot_noise,4,17.74,0.8901685233707162,3
baseline,shot_noise,5,12.339999999999998,0.6677574409918613,3
baseline,snow,1,66.89,0.4788527957525191,3
baseline,snow,2,49.050000000000004,0.6023288138550252,3
baseline,snow,3,55.00333333333333,1.0718830782008484,3
baseline,snow,4,52.14333333333334,0.6050068870131425,3
baseline,snow,5,44.11666666666667,0.8609490886999863,3
baseline,zoom_blur,1,64.28666666666668,0.09291573243177983,3
baseline,zoom_blur,2,59.36333333333334,0.24946609656090252,3
baseline,zoom_blur,3,52.51333333333333,0.40153870714208206,3
baseline,zoom_blur,4,46.51,0.47286361670147065,3
baseline,zoom_blur,5,38.86666666666667,0.8958422480176593,3
cutmix_p05,brightness,1,77.81666666666666,0.16563010998406402,3
cutmix_p05,brightness,2,76.84333333333333,0.19218047073865788,3
cutmix_p05,brightness,3,74.88666666666667,0.4554484969053413,3
cutmix_p05,brightness,4,72.64999999999999,0.9566085928947096,3
cutmix_p05,brightness,5,65.44333333333333,1.62481793851906,3
cutmix_p05,contrast,1,77.02333333333333,0.19139836293274196,3
cutmix_p05,contrast,2,69.91333333333334,0.22479620400115813,3
cutmix_p05,contrast,3,62.76,0.5550675634551191,3
cutmix_p05,contrast,4,49.88333333333333,1.0275375094532198,3
cutmix_p05,contrast,5,19.78,0.6954854419756049,3
cutmix_p05,defocus_blur,1,77.97000000000001,0.23259406699226176,3
cutmix_p05,defocus_blur,2,74.28333333333335,0.4450093631973772,3
cutmix_p05,defocus_blur,3,64.42666666666666,0.51081634011975,3
cutmix_p05,defocus_blur,4,52.34,0.3905124837953328,3
cutmix_p05,defocus_blur,5,31.706666666666667,0.6814934580268069,3
cutmix_p05,elastic_transform,1,69.35000000000001,0.17349351572898136,3
cutmix_p05,elastic_transform,2,68.95333333333333,0.36253735439721974,3
cutmix_p05,elastic_transform,3,62.6,0.24433583445741344,3
cutmix_p05,elastic_transform,4,55.98333333333333,0.1446835627614072,3
cutmix_p05,elastic_transform,5,49.46666666666667,0.19604421270043523,3
cutmix_p05,fog,1,77.56666666666666,0.21031722072462872,3
cutmix_p05,fog,2,74.11,0.3465544690232741,3
cutmix_p05,fog,3,69.40666666666667,0.26501572280400976,3
cutmix_p05,fog,4,61.876666666666665,0.38501082235871303,3
cutmix_p05,fog,5,37.026666666666664,1.0089763789768977,3
cutmix_p05,frost,1,65.95,0.3983716857408446,3
cutmix_p05,frost,2,55.95333333333334,0.4318950489798802,3
cutmix_p05,frost,3,43.41,0.3559494346111558,3
cutmix_p05,frost,4,41.96,0.25238858928248026,3
cutmix_p05,frost,5,32.77333333333333,0.3426854728950931,3
cutmix_p05,gaussian_noise,1,37.419999999999995,1.5810123339177322,3
cutmix_p05,gaussian_noise,2,19.516666666666666,1.6050649000377912,3
cutmix_p05,gaussian_noise,3,11.293333333333335,0.7617304860207021,3
cutmix_p05,gaussian_noise,4,9.03,0.6614378277661477,3
cutmix_p05,gaussian_noise,5,7.366666666666667,0.37166292972710274,3
cutmix_p05,glass_blur,1,21.006666666666668,0.515978035708239,3
cutmix_p05,glass_blur,2,22.77,0.8860586888011415,3
cutmix_p05,glass_blur,3,27.016666666666666,0.9660400267759796,3
cutmix_p05,glass_blur,4,16.83,0.6843244844370254,3
cutmix_p05,glass_blur,5,20.113333333333333,0.6610849668033082,3
cutmix_p05,impulse_noise,1,63.550000000000004,1.0493331215586363,3
cutmix_p05,impulse_noise,2,40.98,2.212442089637604,3
cutmix_p05,impulse_noise,3,23.823333333333334,1.9399570441979734,3
cutmix_p05,impulse_noise,4,9.766666666666667,0.9965105786359387,3
cutmix_p05,impulse_noise,5,4.973333333333334,0.686245825731081,3
cutmix_p05,jpeg_compression,1,59.18333333333334,0.4007908847932176,3
cutmix_p05,jpeg_compression,2,50.26,0.4856953777832351,3
cutmix_p05,jpeg_compression,3,46.77333333333333,0.5801149311415226,3
cutmix_p05,jpeg_compression,4,42.88666666666666,0.3957692930652089,3
cutmix_p05,jpeg_compression,5,38.413333333333334,0.8789956389728771,3
cutmix_p05,motion_blur,1,68.89666666666666,0.5029247790011293,3
cutmix_p05,motion_blur,2,59.65,0.25632011235952695,3
cutmix_p05,motion_blur,3,50.30666666666667,0.3156474826976032,3
cutmix_p05,motion_blur,4,50.346666666666664,0.3286842456421263,3
cutmix_p05,motion_blur,5,42.34,0.43920382511995754,3
cutmix_p05,pixelate,1,73.41666666666667,0.29905406423142233,3
cutmix_p05,pixelate,2,63.586666666666666,0.3330665599145821,3
cutmix_p05,pixelate,3,55.800000000000004,0.23895606290697033,3
cutmix_p05,pixelate,4,30.646666666666665,1.219275741304375,3
cutmix_p05,pixelate,5,13.693333333333333,0.6180884510596628,3
cutmix_p05,shot_noise,1,51.52,1.5420440979427308,3
cutmix_p05,shot_noise,2,35.403333333333336,1.6374472001665668,3
cutmix_p05,shot_noise,3,16.743333333333332,0.8640794716536983,3
cutmix_p05,shot_noise,4,12.703333333333333,0.7479527614317182,3
cutmix_p05,shot_noise,5,8.85,0.5505451843400323,3
cutmix_p05,snow,1,71.31333333333333,0.22300971578237233,3
cutmix_p05,snow,2,52.86000000000001,0.7275300681071523,3
cutmix_p05,snow,3,59.38666666666666,0.23797758998135285,3
cutmix_p05,snow,4,55.10666666666666,0.27646579052991893,3
cutmix_p05,snow,5,45.21333333333333,1.054055659504436,3
cutmix_p05,zoom_blur,1,66.19333333333333,0.2709858544893735,3
