method,seed,corruption,severity,accuracy
cutmix_p05,42,gaussian_noise,1,38.72
cutmix_p05,42,gaussian_noise,2,21.13
cutmix_p05,42,gaussian_noise,3,12.13
cutmix_p05,42,gaussian_noise,4,9.78
cutmix_p05,42,gaussian_noise,5,7.78
cutmix_p05,42,glass_blur,1,21.39
cutmix_p05,42,glass_blur,2,23.63
cutmix_p05,42,glass_blur,3,28.13
cutmix_p05,42,glass_blur,4,17.21
cutmix_p05,42,glass_blur,5,20.82
cutmix_p05,42,impulse_noise,1,64.54
cutmix_p05,42,impulse_noise,2,43.13
cutmix_p05,42,impulse_noise,3,25.38
cutmix_p05,42,impulse_noise,4,10.18
cutmix_p05,42,impulse_noise,5,5.08
cutmix_p05,42,jpeg_compression,1,59.64
cutmix_p05,42,jpeg_compression,2,50.76
cutmix_p05,42,jpeg_compression,3,47.36
cutmix_p05,42,jpeg_compression,4,43.1
cutmix_p05,42,jpeg_compression,5,38.87
cutmix_p05,42,motion_blur,1,68.69
cutmix_p05,42,motion_blur,2,59.41
cutmix_p05,42,motion_blur,3,50.1
cutmix_p05,42,motion_blur,4,50.07
cutmix_p05,42,motion_blur,5,42.27
cutmix_p05,42,pixelate,1,73.15
cutmix_p05,42,pixelate,2,63.48
cutmix_p05,42,pixelate,3,55.59
cutmix_p05,42,pixelate,4,29.61
cutmix_p05,42,pixelate,5,12.99
cutmix_p05,42,shot_noise,1,52.75
cutmix_p05,42,shot_noise,2,36.49
cutmix_p05,42,shot_noise,3,17.45
cutmix_p05,42,shot_noise,4,13.41
cutmix_p05,42,shot_noise,5,9.46
cutmix_p05,42,snow,1,71.48
cutmix_p05,42,snow,2,53.7
cutmix_p05,42,snow,3,59.6
cutmix_p05,42,snow,4,55.23
cutmix_p05,42,snow,5,46.21
cutmix_p05,42,zoom_blur,1,66.22
cutmix_p05,42,zoom_blur,2,60.66
cutmix_p05,42,zoom_blur,3,52.26
cutmix_p05,42,zoom_blur,4,44.96
cutmix_p05,42,zoom_blur,5,36.83
cutmix_p05,43,brightness,1,77.66
cutmix_p05,43,brightness,2,76.67
cutmix_p05,43,brightness,3,74.42
cutmix_p05,43,brightness,4,71.56
cutmix_p05,43,brightness,5,63.68
cutmix_p05,43,contrast,1,77.18
cutmix_p05,43,contrast,2,69.86
cutmix_p05,43,contrast,3,62.77
cutmix_p05,43,contrast,4,50.55
cutmix_p05,43,contrast,5,20.3
cutmix_p05,43,defocus_blur,1,77.93
cutmix_p05,43,defocus_blur,2,73.84
cutmix_p05,43,defocus_blur,3,64.02
cutmix_p05,43,defocus_blur,4,51.89
cutmix_p05,43,defocus_blur,5,32.49
cutmix_p05,43,elastic_transform,1,69.2
cutmix_p05,43,elastic_transform,2,68.71
cutmix_p05,43,elastic_transform,3,62.88
cutmix_p05,43,elastic_transform,4,55.91
cutmix_p05,43,elastic_transform,5,49.26
cutmix_p05,43,fog,1,77.58
cutmix_p05,43,fog,2,73.92
cutmix_p05,43,fog,3,69.22
cutmix_p05,43,fog,4,61.49
cutmix_p05,43,fog,5,36.39
cutmix_p05,43,frost,1,66.18
cutmix_p05,43,frost,2,55.5
cutmix_p05,43,frost,3,43.23
cutmix_p05,43,frost,4,42.03
cutmix_p05,43,frost,5,32.88
cutmix_p05,43,gaussian_noise,1,37.88
cutmix_p05,43,gaussian_noise,2,19.5
cutmix_p05,43,gaussian_noise,3,11.11
cutmix_p05,43,gaussian_noise,4,8.78
cutmix_p05,43,gaussian_noise,5,7.26
cutmix_p05,43,glass_blur,1,20.42
cutmix_p05,43,glass_blur,2,21.86
cutmix_p05,43,glass_blur,3,26.4
cutmix_p05,43,glass_blur,4,16.04
cutmix_p05,43,glass_blur,5,19.51
cutmix_p05,43,impulse_noise,1,63.66
cutmix_p05,43,impulse_noise,2,41.1
cutmix_p05,43,impulse_noise,3,24.44
cutmix_p05,43,impulse_noise,4,10.49
cutmix_p05,43,impulse_noise,5,5.6
cutmix_p05,43,jpeg_compression,1,59.02
cutmix_p05,43,jpeg_compression,2,50.23
cutmix_p05,43,jpeg_compression,3,46.76
cutmix_p05,43,jpeg_compression,4,43.13
cutmix_p05,43,jpeg_compression,5,38.97
cutmix_p05,43,motion_blur,1,68.53
cutmix_p05,43,motion_blur,2,59.62
cutmix_p05,43,motion_blur,3,50.67
cutmix_p05,43,motion_blur,4,50.71
cutmix_p05,43,motion_blur,5,42.81
cutmix_p05,43,pixelate,1,73.74
cutmix_p05,43,pixelate,2,63.96
cutmix_p05,43,pixelate,3,56.06
cutmix_p05,43,pixelate,4,31.99
cutmix_p05,43,pixelate,5,14.15
cutmix_p05,43,shot_noise,1,52.02
cutmix_p05,43,shot_noise,2,36.2
cutmix_p05,43,shot_noise,3,17.0
cutmix_p05,43,shot_noise,4,12.78
