seed,corruption,severity,accuracy_p05,accuracy_control,control,delta
44,brightness,5,66.88,64.18,baseline,2.6999999999999886
44,contrast,1,77.08,75.24,baseline,1.8400000000000034
44,contrast,2,69.72,67.98,baseline,1.7399999999999949
44,contrast,3,62.2,60.4,baseline,1.8000000000000043
44,contrast,4,48.7,47.63,baseline,1.0700000000000003
44,contrast,5,18.99,16.38,baseline,2.6099999999999994
44,defocus_blur,1,78.22,75.82,baseline,2.4000000000000057
44,defocus_blur,2,74.73,72.27,baseline,2.460000000000008
44,defocus_blur,3,65.0,61.96,baseline,3.039999999999999
44,defocus_blur,4,52.54,50.96,baseline,1.5799999999999983
44,defocus_blur,5,31.38,33.09,baseline,-1.7100000000000044
44,elastic_transform,1,69.54,67.51,baseline,2.030000000000001
44,elastic_transform,2,69.37,67.06,baseline,2.3100000000000023
44,elastic_transform,3,62.49,60.52,baseline,1.9699999999999989
44,elastic_transform,4,55.89,56.35,baseline,-0.46000000000000085
44,elastic_transform,5,49.49,50.06,baseline,-0.5700000000000003
44,fog,1,77.77,75.76,baseline,2.009999999999991
44,fog,2,74.51,72.15,baseline,2.3599999999999994
44,fog,3,69.71,68.44,baseline,1.269999999999996
44,fog,4,62.26,61.33,baseline,0.9299999999999997
44,fog,5,38.19,38.29,baseline,-0.10000000000000142
44,frost,1,66.18,65.13,baseline,1.0500000000000114
44,frost,2,56.36,55.64,baseline,0.7199999999999989
44,frost,3,43.82,43.54,baseline,0.28000000000000114
44,frost,4,41.68,42.1,baseline,-0.4200000000000017
44,frost,5,32.39,32.63,baseline,-0.240000000000002
44,gaussian_noise,1,35.66,44.51,baseline,-8.850000000000001
44,gaussian_noise,2,17.92,26.92,baseline,-9.0
44,gaussian_noise,3,10.64,16.22,baseline,-5.579999999999998
44,gaussian_noise,4,8.53,13.61,baseline,-5.08
44,gaussian_noise,5,7.06,11.2,baseline,-4.14
44,glass_blur,1,21.21,20.5,baseline,0.7100000000000009
44,glass_blur,2,22.82,22.14,baseline,0.6799999999999997
