method,seed,corruption,accuracy,baseline,delta
mixup,43,fog,90.152,87.664,2.4879999999999995
mixup,43,frost,86.812,76.848,9.963999999999999
mixup,43,gaussian_noise,46.524,46.562,-0.0379999999999967
mixup,43,glass_blur,68.878,54.888,13.990000000000002
mixup,43,impulse_noise,49.578,55.738,-6.159999999999997
mixup,43,jpeg_compression,80.848,79.588,1.2600000000000051
mixup,43,motion_blur,83.398,77.24600000000001,6.151999999999987
mixup,43,pixelate,78.866,74.26599999999999,4.6000000000000085
mixup,43,shot_noise,60.3,58.69200000000001,1.6079999999999899
mixup,43,snow,86.94,81.912,5.027999999999992
mixup,43,zoom_blur,82.142,78.272,3.8699999999999903
mixup,44,brightness,93.538,93.428,0.10999999999999943
mixup,44,contrast,86.88199999999999,77.134,9.74799999999999
mixup,44,defocus_blur,87.562,82.40599999999999,5.156000000000006
mixup,44,elastic_transform,86.79400000000001,84.642,2.1520000000000152
mixup,44,fog,89.572,88.9,0.671999999999997
mixup,44,frost,86.138,78.15,7.9879999999999995
mixup,44,gaussian_noise,55.608000000000004,42.536,13.072000000000003
mixup,44,glass_blur,62.472,54.342,8.130000000000003
mixup,44,impulse_noise,50.65,50.275999999999996,0.37400000000000233
mixup,44,jpeg_compression,81.348,79.588,1.7600000000000051
mixup,44,motion_blur,83.17,78.386,4.784000000000006
mixup,44,pixelate,79.218,75.16799999999999,4.050000000000011
mixup,44,shot_noise,66.644,55.45399999999999,11.190000000000012
mixup,44,snow,86.82000000000001,82.57000000000001,4.25
mixup,44,zoom_blur,82.868,77.462,5.405999999999992
randaugment,42,brightness,94.188,92.694,1.4939999999999998
randaugment,42,contrast,85.44,75.692,9.748000000000005
randaugment,42,defocus_blur,84.836,82.34200000000001,2.4939999999999856
randaugment,42,elastic_transform,86.906,84.262,2.6440000000000055
randaugment,42,fog,90.072,87.458,2.6140000000000043
randaugment,42,frost,84.80799999999999,74.96000000000001,9.847999999999985
randaugment,42,gaussian_noise,56.01800000000001,48.376,7.64200000000001
randaugment,42,glass_blur,72.25399999999999,53.010000000000005,19.243999999999986
randaugment,42,impulse_noise,84.58,55.146,29.433999999999997
randaugment,42,jpeg_compression,83.974,79.49600000000001,4.477999999999994
randaugment,42,motion_blur,82.22,78.866,3.353999999999999
randaugment,42,pixelate,76.582,75.888,0.6939999999999884
randaugment,42,shot_noise,66.686,60.116,6.570000000000007
randaugment,42,snow,86.786,80.612,6.174000000000007
randaugment,42,zoom_blur,82.736,77.07000000000001,5.665999999999997
randaugment,43,brightness,94.35799999999999,92.944,1.4139999999999873
randaugment,43,contrast,85.15,76.408,8.742000000000004
randaugment,43,defocus_blur,86.28999999999999,82.534,3.755999999999986
randaugment,43,elastic_transform,86.89,84.346,2.543999999999997
randaugment,43,fog,90.1,87.664,2.435999999999993
randaugment,43,frost,84.73400000000001,76.848,7.88600000000001
randaugment,43,gaussian_noise,56.246,46.562,9.684000000000005
randaugment,43,glass_blur,72.454,54.888,17.565999999999995
randaugment,43,impulse_noise,83.356,55.738,27.617999999999995
