method,seed,category,severity,accuracy,baseline,delta
cutmix,44,blur,2,80.85249999999999,80.155,0.6974999999999909
cutmix,44,blur,3,75.455,76.0875,-0.6325000000000074
cutmix,44,blur,4,67.0625,68.71000000000001,-1.647500000000008
cutmix,44,blur,5,53.3,58.235,-4.935000000000002
cutmix,44,digital,1,91.12,91.21000000000001,-0.09000000000000341
cutmix,44,digital,2,86.8675,87.82249999999999,-0.9549999999999841
cutmix,44,digital,3,82.275,84.3175,-2.0424999999999898
cutmix,44,digital,4,70.9525,75.17750000000001,-4.2250000000000085
cutmix,44,digital,5,55.26,57.137499999999996,-1.8774999999999977
cutmix,44,noise,1,74.53333333333333,81.57666666666667,-7.0433333333333366
cutmix,44,noise,2,54.94333333333333,65.19666666666666,-10.25333333333333
cutmix,44,noise,3,36.34666666666667,45.876666666666665,-9.529999999999994
cutmix,44,noise,4,27.723333333333333,32.07,-4.346666666666668
cutmix,44,noise,5,20.44333333333333,22.39,-1.946666666666669
cutmix,44,weather,1,93.77250000000001,92.4375,1.335000000000008
cutmix,44,weather,2,90.2025,88.68,1.5224999999999937
cutmix,44,weather,3,88.2675,86.41499999999999,1.8525000000000063
cutmix,44,weather,4,86.11,84.7425,1.3674999999999926
cutmix,44,weather,5,77.2,76.535,0.6650000000000063
mixup,42,blur,1,86.9625,81.495,5.467500000000001
mixup,42,blur,2,84.9175,79.4875,5.430000000000007
mixup,42,blur,3,82.2575,75.72,6.537499999999994
mixup,42,blur,4,75.535,68.4725,7.0625
mixup,42,blur,5,67.5375,58.935,8.602499999999992
mixup,42,digital,1,92.1875,90.48,1.707499999999996
mixup,42,digital,2,89.8825,87.00999999999999,2.8725000000000023
mixup,42,digital,3,87.2525,83.5275,3.7249999999999943
mixup,42,digital,4,79.635,74.995,4.640000000000001
mixup,42,digital,5,69.19749999999999,58.16,11.037499999999994
mixup,42,noise,1,84.60666666666667,81.48333333333333,3.123333333333335
mixup,42,noise,2,71.33666666666666,67.98333333333333,3.3533333333333246
mixup,42,noise,3,54.866666666666674,52.15,2.7166666666666757
mixup,42,noise,4,44.85333333333333,40.983333333333334,3.8699999999999974
mixup,42,noise,5,34.36,30.13,4.23
mixup,42,weather,1,94.0175,91.5675,2.450000000000003
mixup,42,weather,2,91.835,87.09,4.74499999999999
mixup,42,weather,3,90.94749999999999,84.97749999999999,5.969999999999999
mixup,42,weather,4,89.83,82.525,7.304999999999993
mixup,42,weather,5,83.58500000000001,73.495,10.090000000000003
mixup,43,blur,1,87.35249999999999,82.3775,4.974999999999994
mixup,43,blur,2,85.6275,79.9625,5.664999999999992
mixup,43,blur,3,83.37,76.1525,7.217500000000001
mixup,43,blur,4,76.425,68.965,7.459999999999994
mixup,43,blur,5,68.57249999999999,58.7175,9.85499999999999
mixup,43,digital,1,92.24,90.66499999999999,1.5750000000000028
mixup,43,digital,2,89.605,87.1625,2.4425000000000097
mixup,43,digital,3,87.1425,83.6225,3.519999999999996
mixup,43,digital,4,79.29,74.36,4.930000000000007
mixup,43,digital,5,67.7,57.449999999999996,10.250000000000007
mixup,43,noise,1,83.46666666666667,82.93666666666667,0.5300000000000011
mixup,43,noise,2,68.44666666666667,68.86,-0.4133333333333269
mixup,43,noise,3,48.70666666666667,50.81333333333333,-2.106666666666662
mixup,43,noise,4,35.63666666666666,38.660000000000004,-3.0233333333333405
mixup,43,noise,5,24.413333333333338,27.05,-2.636666666666663
mixup,43,weather,1,93.905,91.9125,1.9925000000000068
mixup,43,weather,2,91.58,87.9875,3.592500000000001
mixup,43,weather,3,90.4275,85.735,4.6924999999999955
mixup,43,weather,4,89.12,83.7625,5.357500000000002
mixup,43,weather,5,82.5325,74.8125,7.719999999999999
mixup,44,blur,1,85.5875,82.5575,3.030000000000001
mixup,44,blur,2,83.84,80.155,3.6850000000000023
mixup,44,blur,3,82.0125,76.0875,5.924999999999997
mixup,44,blur,4,75.0925,68.71000000000001,6.382499999999993
mixup,44,blur,5,68.5575,58.235,10.322500000000005
mixup,44,digital,1,92.305,91.21000000000001,1.0949999999999989
mixup,44,digital,2,89.8375,87.82249999999999,2.015000000000015
mixup,44,digital,3,87.11,84.3175,2.792500000000004
mixup,44,digital,4,79.86,75.17750000000001,4.68249999999999
mixup,44,digital,5,68.69,57.137499999999996,11.552500000000002
mixup,44,noise,1,84.53333333333335,81.57666666666667,2.9566666666666777
mixup,44,noise,2,71.02333333333333,65.19666666666666,5.826666666666668
mixup,44,noise,3,54.60999999999999,45.876666666666665,8.733333333333327
mixup,44,noise,4,44.21333333333333,32.07,12.14333333333333
mixup,44,noise,5,33.79,22.39,11.399999999999999
mixup,44,weather,1,93.7125,92.4375,1.2750000000000057
mixup,44,weather,2,91.165,88.68,2.4849999999999994
mixup,44,weather,3,90.135,86.41499999999999,3.720000000000013
mixup,44,weather,4,88.55,84.7425,3.8074999999999903
mixup,44,weather,5,81.52250000000001,76.535,4.987500000000011
randaugment,42,blur,1,88.14,81.495,6.644999999999996
randaugment,42,blur,2,86.695,79.4875,7.207499999999996
randaugment,42,blur,3,83.8925,75.72,8.1725
randaugment,42,blur,4,76.4975,68.4725,8.025000000000006
randaugment,42,blur,5,67.3325,58.935,8.397499999999994
randaugment,42,digital,1,92.38,90.48,1.8999999999999915
randaugment,42,digital,2,90.17500000000001,87.00999999999999,3.1650000000000205
randaugment,42,digital,3,87.7925,83.5275,4.265000000000001
randaugment,42,digital,4,80.1575,74.995,5.162499999999994
randaugment,42,digital,5,65.6225,58.16,7.462500000000006
randaugment,42,noise,1,87.67999999999999,81.48333333333333,6.196666666666658
randaugment,42,noise,2,79.58,67.98333333333333,11.596666666666664
randaugment,42,noise,3,67.62333333333333,52.15,15.473333333333336
randaugment,42,noise,4,60.39000000000001,40.983333333333334,19.406666666666673
randaugment,42,noise,5,50.199999999999996,30.13,20.069999999999997
randaugment,42,weather,1,93.6725,91.5675,2.105000000000004
randaugment,42,weather,2,91.4275,87.09,4.3374999999999915
randaugment,42,weather,3,89.74249999999999,84.97749999999999,4.765000000000001
randaugment,42,weather,4,87.905,82.525,5.3799999999999955
randaugment,42,weather,5,82.07,73.495,8.574999999999989
randaugment,43,blur,1,88.4275,82.3775,6.049999999999997
randaugment,43,blur,2,86.85249999999999,79.9625,6.889999999999986
randaugment,43,blur,3,83.885,76.1525,7.732500000000002
randaugment,43,blur,4,76.89750000000001,68.965,7.9325000000000045
randaugment,43,blur,5,69.07,58.7175,10.352499999999992
randaugment,43,digital,1,92.12,90.66499999999999,1.4550000000000125
randaugment,43,digital,2,89.6875,87.1625,2.5250000000000057
randaugment,43,digital,3,86.8875,83.6225,3.2650000000000006
randaugment,43,digital,4,78.395,74.36,4.034999999999997
randaugment,43,digital,5,64.22,57.449999999999996,6.770000000000003
randaugment,43,noise,1,87.42,82.93666666666667,4.483333333333334
randaugment,43,noise,2,79.69333333333333,68.86,10.833333333333329
randaugment,43,noise,3,68.20333333333333,50.81333333333333,17.39
randaugment,43,noise,4,60.32333333333333,38.660000000000004,21.663333333333327
randaugment,43,noise,5,49.93333333333334,27.05,22.883333333333336
randaugment,43,weather,1,93.72,91.9125,1.8075000000000045
randaugment,43,weather,2,91.295,87.9875,3.3075000000000045
randaugment,43,weather,3,89.75,85.735,4.015000000000001
randaugment,43,weather,4,87.93,83.7625,4.167500000000004
randaugment,43,weather,5,81.875,74.8125,7.0625
