method,corruption,seeds,accuracy_mean,accuracy_std,delta_mean,delta_std,delta_min,delta_max
cutmix,shot_noise,3,41.56733333333333,2.30734855046509,-16.52,4.668690608725326,-20.072000000000003,-11.231999999999992
cutmix,snow,3,85.73133333333334,0.1920555475203213,4.033333333333331,0.8222659748118912,3.3719999999999857,4.954000000000008
cutmix,zoom_blur,3,74.37599999999999,1.7105659882039113,-3.2253333333333387,1.5946464602956205,-5.032000000000011,-2.013999999999996
mixup,brightness,3,93.86066666666666,0.3065311294686592,0.8386666666666637,0.6310446365617338,0.10999999999999943,1.2039999999999935
mixup,contrast,3,86.33533333333332,0.6033318600350277,9.924000000000001,0.7477004747892115,9.280000000000001,10.744000000000014
mixup,defocus_blur,3,86.80933333333333,0.6902241181915749,4.381999999999995,0.6829846264741339,3.86399999999999,5.156000000000006
mixup,elastic_transform,3,86.84133333333334,0.51662881581783,2.424666666666667,0.5286675073553568,2.087999999999994,3.033999999999992
mixup,fog,3,89.82000000000001,0.298984949453982,1.8126666666666675,0.9934109589355953,0.671999999999997,2.4879999999999995
mixup,frost,3,87.18400000000001,1.273425302088814,10.53133333333333,2.869377865205857,7.9879999999999995,13.641999999999996
mixup,gaussian_noise,3,52.142,4.909489993879204,6.3173333333333375,6.564116492974003,-0.0379999999999967,13.072000000000003
mixup,glass_blur,3,66.63133333333333,3.605957478026243,12.551333333333337,3.906037036861446,8.130000000000003,15.534000000000006
mixup,impulse_noise,3,51.148666666666664,1.8705350393225233,-2.571333333333333,3.314166159584236,-6.159999999999997,0.37400000000000233
mixup,jpeg_compression,3,81.20933333333333,0.31572984232303775,1.6519999999999964,0.3507021528305643,1.2600000000000051,1.9359999999999786
mixup,motion_blur,3,82.82333333333334,0.8060008271294286,4.657333333333331,1.5618570143688928,3.0360000000000014,6.151999999999987
mixup,pixelate,3,79.46333333333332,0.7506939012229495,4.356000000000004,0.2801927907709229,4.050000000000011,4.6000000000000085
mixup,shot_noise,3,64.482,3.6224141121633258,6.394666666666666,4.791005879075232,1.6079999999999899,11.190000000000012
mixup,snow,3,87.23266666666666,0.6137762893215448,5.534666666666666,1.5993677917644056,4.25,7.326000000000008
mixup,zoom_blur,3,82.04199999999999,0.8802704129981923,4.440666666666658,0.8406219919400955,3.8699999999999903,5.405999999999992
randaugment,brightness,3,94.33466666666668,0.1365039681962856,1.3126666666666627,0.24804300702364432,1.0300000000000011,1.4939999999999998
randaugment,contrast,3,85.90066666666667,1.0590190429512227,9.489333333333335,0.6573471939038977,8.742000000000004,9.977999999999994
randaugment,defocus_blur,3,85.42733333333332,0.7640322855307444,2.9999999999999907,0.6671101858014138,2.4939999999999856,3.755999999999986
randaugment,elastic_transform,3,86.86333333333334,0.06057502235519218,2.4466666666666725,0.2600410224047922,2.1520000000000152,2.6440000000000055
randaugment,fog,3,90.23,0.24980792621532144,2.222666666666664,0.5311660129689554,1.617999999999995,2.6140000000000043
randaugment,frost,3,85.26933333333334,0.8639313244311261,8.61666666666666,1.0725489887801465,7.88600000000001,9.847999999999985
randaugment,gaussian_noise,3,56.91266666666667,1.3569514852541074,11.088000000000006,4.322535829811011,7.64200000000001,15.938000000000002
randaugment,glass_blur,3,72.30266666666667,0.13381081172062342,18.22266666666666,0.8964693711071896,17.565999999999995,19.243999999999986
randaugment,impulse_noise,3,83.94866666666667,0.6129154373429755,30.228666666666665,3.0857228218576838,27.617999999999995,33.634
randaugment,jpeg_compression,3,83.778,0.6120098038430432,4.220666666666669,0.6288158182912794,3.504000000000005,4.680000000000007
randaugment,motion_blur,3,81.688,0.4917845056526269,3.5220000000000007,0.42375936567820144,3.2080000000000126,4.003999999999991
randaugment,pixelate,3,75.52533333333334,1.4163224679900166,0.41800000000000165,0.6738189667855883,-0.3499999999999943,0.9100000000000108
randaugment,shot_noise,3,67.86133333333333,1.2393164782787771,9.773999999999996,3.6207026942293927,6.570000000000007,13.701999999999998
randaugment,snow,3,86.86666666666667,0.4484744511489286,5.168666666666662,0.8780759268613106,4.5519999999999925,6.174000000000007
randaugment,zoom_blur,3,83.09533333333333,0.8929777899440315,5.493999999999995,0.45695951680646313,4.975999999999999,5.839999999999989
