method,category,severity,seeds,accuracy_mean,accuracy_std,delta_mean,delta_std,delta_min,delta_max
mixup,weather,5,3,82.54666666666667,1.0313229772158332,7.5991666666666715,2.5533952070397,4.987500000000011,10.090000000000003
randaugment,blur,1,3,88.3075,0.1495200655430545,6.164166666666664,0.4351316850487124,5.797499999999999,6.644999999999996
randaugment,blur,2,3,86.77166666666666,0.07883262860854774,6.903333333333326,0.29772400530244963,6.612499999999997,7.207499999999996
randaugment,blur,3,3,83.69166666666666,0.3413789438927551,7.704999999999998,0.48183892536822187,7.209999999999994,8.1725
randaugment,blur,4,3,76.47583333333334,0.43290684140278823,7.760000000000001,0.3816985066777265,7.322499999999991,8.025000000000006
randaugment,blur,5,3,67.895,1.0178869043268013,9.265833333333328,0.9956195725945378,8.397499999999994,10.352499999999992
randaugment,digital,1,3,92.36916666666667,0.24393048873261355,1.5841666666666658,0.275026513873354,1.3974999999999937,1.8999999999999915
randaugment,digital,2,3,90.12083333333334,0.408949365243833,2.7891666666666786,0.3342934090486058,2.5250000000000057,3.1650000000000205
randaugment,digital,3,3,87.52666666666669,0.5561380973583223,3.7041666666666706,0.5109814902061837,3.2650000000000006,4.265000000000001
randaugment,digital,4,3,79.33,0.886153908754009,4.485833333333328,0.5967114741089978,4.034999999999997,5.162499999999994
randaugment,digital,5,3,65.7375,1.5781456681814943,8.155000000000006,1.8321827829122315,6.770000000000003,10.232500000000009
randaugment,noise,1,3,87.9488888888889,0.7030199407108169,5.949999999999998,1.3602124017144441,4.483333333333334,7.170000000000002
randaugment,noise,2,3,80.13333333333333,0.86211625923912,12.786666666666667,2.74883207522355,10.833333333333329,15.930000000000007
randaugment,noise,3,3,68.46111111111111,0.9921096116264049,18.847777777777782,4.293155189540846,15.473333333333336,23.680000000000007
randaugment,noise,4,3,60.815555555555555,0.7955175347835776,23.577777777777772,5.389677720042811,19.406666666666673,29.663333333333327
randaugment,noise,5,3,50.51222222222222,0.783158372895956,23.98888888888889,4.573017886756252,20.069999999999997,29.013333333333335
randaugment,weather,1,3,93.79166666666667,0.16696431754520488,1.8191666666666702,0.2801822323655338,1.5450000000000017,2.105000000000004
randaugment,weather,2,3,91.51499999999999,0.27441984257701957,3.5958333333333266,0.6475788240309691,3.142499999999984,4.3374999999999915
randaugment,weather,3,3,89.92583333333333,0.3110700617760124,4.216666666666669,0.4803731188704588,3.8700000000000045,4.765000000000001
randaugment,weather,4,3,88.22833333333334,0.5385242179636169,4.551666666666662,0.7179847375350911,4.1074999999999875,5.3799999999999955
randaugment,weather,5,3,82.415,0.7726092155805566,7.467499999999997,0.9705893827978891,6.765000000000001,8.574999999999989
