control,corruption,severity,mean,std,minimum,maximum,seeds,dataset
baseline,zoom_blur,3,-2.569999999999998,1.5439883419248916,-3.739999999999995,-0.8200000000000074,3,CIFAR-10
baseline,zoom_blur,4,-5.296666666666662,2.141175689506432,-6.919999999999988,-2.8699999999999903,3,CIFAR-10
baseline,zoom_blur,5,-8.286666666666669,2.53693384488704,-10.440000000000005,-5.490000000000002,3,CIFAR-10
cutmix_p1,brightness,1,-0.2400000000000043,0.32511536414018,-0.5700000000000074,0.0799999999999983,3,CIFAR-10
cutmix_p1,brightness,2,-0.173333333333332,0.1628905563049417,-0.3599999999999994,-0.0600000000000022,3,CIFAR-10
cutmix_p1,brightness,3,-0.2900000000000015,0.3051229260478397,-0.5999999999999943,0.0099999999999909,3,CIFAR-10
cutmix_p1,brightness,4,-0.273333333333331,0.1159022576714276,-0.3799999999999954,-0.1499999999999914,3,CIFAR-10
cutmix_p1,brightness,5,0.2200000000000036,0.1752141546793421,0.0500000000000113,0.3999999999999915,3,CIFAR-10
cutmix_p1,contrast,1,-0.1200000000000092,0.1646207763315454,-0.220000000000013,0.0699999999999931,3,CIFAR-10
cutmix_p1,contrast,2,-0.0400000000000015,0.1252996408614167,-0.1700000000000017,0.0799999999999983,3,CIFAR-10
cutmix_p1,contrast,3,-0.0733333333333329,0.2640706976045101,-0.3599999999999994,0.1599999999999966,3,CIFAR-10
cutmix_p1,contrast,4,0.3966666666666659,0.5732654998631433,-0.0600000000000022,1.0400000000000065,3,CIFAR-10
cutmix_p1,contrast,5,1.4599999999999984,0.8146778504415094,0.5399999999999991,2.0899999999999963,3,CIFAR-10
cutmix_p1,defocus_blur,1,-0.196666666666663,0.2311565126344809,-0.4399999999999977,0.0200000000000102,3,CIFAR-10
cutmix_p1,defocus_blur,2,-0.119999999999995,0.4014971979977004,-0.5,0.3000000000000113,3,CIFAR-10
cutmix_p1,defocus_blur,3,0.3633333333333392,1.2345174495864126,-0.539999999999992,1.7700000000000102,3,CIFAR-10
cutmix_p1,defocus_blur,4,-0.4299999999999973,2.272355605973669,-2.3699999999999903,2.069999999999993,3,CIFAR-10
cutmix_p1,defocus_blur,5,2.326666666666668,8.04538584117215,-2.619999999999997,11.61,3,CIFAR-10
cutmix_p1,elastic_transform,1,-0.3699999999999998,0.0360555127546425,-0.4000000000000057,-0.3299999999999983,3,CIFAR-10
cutmix_p1,elastic_transform,2,-0.2666666666666704,0.3002221399786025,-0.5600000000000023,0.039999999999992,3,CIFAR-10
cutmix_p1,elastic_transform,3,0.4733333333333386,0.332315111503125,0.0900000000000034,0.6800000000000068,3,CIFAR-10
cutmix_p1,elastic_transform,4,0.5633333333333326,1.0678170879571751,-0.6500000000000057,1.3599999999999994,3,CIFAR-10
cutmix_p1,elastic_transform,5,0.9833333333333344,0.4950084174368531,0.4899999999999949,1.480000000000004,3,CIFAR-10
cutmix_p1,fog,1,-0.1166666666666695,0.207444771766687,-0.3400000000000034,0.0699999999999931,3,CIFAR-10
cutmix_p1,fog,2,-0.0566666666666672,0.3288363321370209,-0.4299999999999926,0.1899999999999977,3,CIFAR-10
cutmix_p1,fog,3,-0.1900000000000024,0.0818535277187212,-0.2600000000000051,-0.1000000000000085,3,CIFAR-10
cutmix_p1,fog,4,0.0466666666666668,0.2970409623828522,-0.1899999999999977,0.3799999999999954,3,CIFAR-10
cutmix_p1,fog,5,-0.2666666666666704,1.280013020767115,-1.5500000000000114,1.0100000000000051,3,CIFAR-10
cutmix_p1,frost,1,-0.3100000000000023,0.355105618091291,-0.6599999999999966,0.0499999999999971,3,CIFAR-10
cutmix_p1,frost,2,-0.4000000000000009,0.1442220510185604,-0.5600000000000023,-0.2800000000000011,3,CIFAR-10
cutmix_p1,frost,3,-0.2199999999999988,1.2810542533397966,-1.4699999999999989,1.0899999999999892,3,CIFAR-10
