method,seed,corruption,severity,accuracy
cutmix_p05,44,zoom_blur,3,78.07
cutmix_p05,44,zoom_blur,4,70.18
cutmix_p05,44,zoom_blur,5,57.39
cutmix_p1,42,brightness,1,95.76
cutmix_p1,42,brightness,2,95.25
cutmix_p1,42,brightness,3,94.72
cutmix_p1,42,brightness,4,93.74
cutmix_p1,42,brightness,5,90.54
cutmix_p1,42,contrast,1,95.18
cutmix_p1,42,contrast,2,92.39
cutmix_p1,42,contrast,3,89.24
cutmix_p1,42,contrast,4,82.25
cutmix_p1,42,contrast,5,43.67
cutmix_p1,42,defocus_blur,1,95.51
cutmix_p1,42,defocus_blur,2,94.17
cutmix_p1,42,defocus_blur,3,88.72
cutmix_p1,42,defocus_blur,4,78.92
cutmix_p1,42,defocus_blur,5,47.14
cutmix_p1,42,elastic_transform,1,91.57
cutmix_p1,42,elastic_transform,2,90.89
cutmix_p1,42,elastic_transform,3,85.69
cutmix_p1,42,elastic_transform,4,78.41
cutmix_p1,42,elastic_transform,5,73.72
cutmix_p1,42,fog,1,95.36
cutmix_p1,42,fog,2,94.25
cutmix_p1,42,fog,3,92.64
cutmix_p1,42,fog,4,89.33
cutmix_p1,42,fog,5,71.87
cutmix_p1,42,frost,1,90.47
cutmix_p1,42,frost,2,85.36
cutmix_p1,42,frost,3,75.48
cutmix_p1,42,frost,4,73.27
cutmix_p1,42,frost,5,63.42
cutmix_p1,42,gaussian_noise,1,63.44
cutmix_p1,42,gaussian_noise,2,32.04
cutmix_p1,42,gaussian_noise,3,16.78
cutmix_p1,42,gaussian_noise,4,13.7
cutmix_p1,42,gaussian_noise,5,12.0
cutmix_p1,42,glass_blur,1,53.94
cutmix_p1,42,glass_blur,2,56.34
cutmix_p1,42,glass_blur,3,59.92
cutmix_p1,42,glass_blur,4,44.4
cutmix_p1,42,glass_blur,5,49.05
cutmix_p1,42,impulse_noise,1,85.93
cutmix_p1,42,impulse_noise,2,69.24
cutmix_p1,42,impulse_noise,3,54.26
cutmix_p1,42,impulse_noise,4,34.35
cutmix_p1,42,impulse_noise,5,20.27
cutmix_p1,42,jpeg_compression,1,84.27
cutmix_p1,42,jpeg_compression,2,77.36
cutmix_p1,42,jpeg_compression,3,73.46
cutmix_p1,42,jpeg_compression,4,69.4
cutmix_p1,42,jpeg_compression,5,64.12
cutmix_p1,42,motion_blur,1,91.3
cutmix_p1,42,motion_blur,2,82.87
cutmix_p1,42,motion_blur,3,74.17
cutmix_p1,42,motion_blur,4,74.19
cutmix_p1,42,motion_blur,5,65.33
cutmix_p1,42,pixelate,1,93.1
cutmix_p1,42,pixelate,2,86.73
cutmix_p1,42,pixelate,3,79.28
cutmix_p1,42,pixelate,4,52.8
cutmix_p1,42,pixelate,5,38.43
cutmix_p1,42,shot_noise,1,77.39
cutmix_p1,42,shot_noise,2,60.26
cutmix_p1,42,shot_noise,3,27.84
cutmix_p1,42,shot_noise,4,20.78
cutmix_p1,42,shot_noise,5,13.95
