control,corruption,severity,mean,std,minimum,maximum,seeds
baseline,fog,3,1.1933333333333376,0.17953644012659825,0.9900000000000091,1.3299999999999983,3
baseline,fog,4,1.0599999999999976,0.24269322199022877,0.7800000000000011,1.2099999999999937,3
baseline,fog,5,-0.6966666666666678,1.0042576030746957,-1.75,0.25,3
baseline,frost,1,0.3100000000000023,0.8143095234614395,-0.1799999999999926,1.25,3
baseline,frost,2,0.4700000000000036,1.204284019656489,-0.2599999999999909,1.8599999999999994,3
baseline,frost,3,1.1833333333333276,2.115096530500043,-0.38000000000000966,3.589999999999989,3
baseline,frost,4,1.1366666666666656,2.722762077988688,-0.4899999999999949,4.279999999999987,3
baseline,frost,5,2.7033333333333354,3.327256126800778,0.6100000000000065,6.539999999999999,3
baseline,gaussian_noise,1,-4.293333333333332,3.110391186544435,-7.539999999999992,-1.3400000000000034,3
baseline,gaussian_noise,2,-3.9933333333333345,4.764874954637672,-9.090000000000003,0.3500000000000014,3
baseline,gaussian_noise,3,-2.236666666666666,2.485484526874658,-4.579999999999998,0.37000000000000455,3
baseline,gaussian_noise,4,-1.8766666666666663,0.9657294307068293,-2.8200000000000003,-0.889999999999997,3
baseline,gaussian_noise,5,-1.7433333333333323,0.6117461347105786,-2.2399999999999984,-1.0599999999999987,3
baseline,glass_blur,1,1.0800000000000007,4.950040403875507,-3.3900000000000006,6.399999999999999,3
baseline,glass_blur,2,1.150000000000001,3.2466598220324823,-1.9699999999999989,4.509999999999998,3
baseline,glass_blur,3,1.2633333333333354,3.68524535592046,-2.5999999999999943,4.740000000000002,3
baseline,glass_blur,4,1.4266666666666648,4.74579111775195,-3.0799999999999983,6.3799999999999955,3
baseline,glass_blur,5,2.1466666666666683,3.156363941837715,-1.1999999999999957,5.07,3
baseline,impulse_noise,1,4.4033333333333315,0.24006943440040987,4.140000000000001,4.609999999999999,3
baseline,impulse_noise,2,3.62666666666667,0.8120550063470612,2.8500000000000085,4.469999999999999,3
baseline,impulse_noise,3,0.4133333333333316,0.8886131516769993,-0.6099999999999994,0.9899999999999949,3
baseline,impulse_noise,4,2.129999999999999,2.152695984109226,-0.11999999999999744,4.169999999999998,3
baseline,impulse_noise,5,5.586666666666667,2.035051186907428,4.120000000000001,7.91,3
baseline,jpeg_compression,1,-0.9433333333333328,0.6619919435562195,-1.3599999999999994,-0.1799999999999926,3
baseline,jpeg_compression,2,-1.9799999999999993,0.29715315916207125,-2.1899999999999977,-1.6400000000000006,3
baseline,jpeg_compression,3,-2.526666666666671,0.07234178138069844,-2.6099999999999994,-2.480000000000004,3
baseline,jpeg_compression,4,-3.3133333333333375,0.4534681172181034,-3.5900000000000034,-2.7900000000000063,3
