method,corruption,severity,mean,std,seeds
baseline,gaussian_noise,5,25.853333333333335,3.6239389251660046,3
baseline,glass_blur,1,56.056666666666665,1.5971954587129669,3
baseline,glass_blur,2,57.833333333333336,0.7616648431779798,3
baseline,glass_blur,3,60.82333333333333,1.3130625778436187,3
baseline,glass_blur,4,46.49666666666667,0.937354433143266,3
baseline,glass_blur,5,49.19,0.3764306044943728,3
baseline,impulse_noise,1,82.61333333333333,1.3845697285920027,3
baseline,impulse_noise,2,69.25,1.9981741665830879,3
baseline,impulse_noise,3,58.373333333333335,2.9935987261711157,3
baseline,impulse_noise,4,36.946666666666665,5.444743642572473,3
baseline,impulse_noise,5,21.416666666666668,4.012185605543859,3
baseline,jpeg_compression,1,86.71,0.3176476034853766,3
baseline,jpeg_compression,2,81.57333333333334,0.11718930554164593,3
baseline,jpeg_compression,3,79.70333333333333,0.18230011885166558,3
baseline,jpeg_compression,4,76.85333333333334,0.14640127503999,3
baseline,jpeg_compression,5,72.94666666666666,0.25026652459594617,3
baseline,motion_blur,1,90.39333333333333,0.4654388610046858,3
baseline,motion_blur,2,83.60333333333334,0.723901466591503,3
baseline,motion_blur,3,75.03666666666666,1.0803857335846905,3
baseline,motion_blur,4,75.23333333333333,0.9565737469392154,3
baseline,motion_blur,5,66.56333333333333,1.616611682913781,3
baseline,pixelate,1,92.18666666666667,0.5426171148547893,3
baseline,pixelate,2,87.24333333333334,0.7432585911601248,3
baseline,pixelate,3,82.63,0.6990708118638546,3
baseline,pixelate,4,65.33,1.5404869360043276,3
baseline,pixelate,5,48.14666666666667,2.9592960874730596,3
baseline,shot_noise,1,85.55333333333333,0.6798774399355574,3
baseline,shot_noise,2,75.90666666666667,0.8403174003514027,3
baseline,shot_noise,3,52.699999999999996,3.446142771273411,3
baseline,shot_noise,4,43.97666666666667,4.45467544646446,3
baseline,shot_noise,5,32.300000000000004,4.135081619508856,3
baseline,snow,1,89.33666666666666,0.310698138606161,3
baseline,snow,2,80.08333333333333,1.5007109426313072,3
baseline,snow,3,83.17666666666666,0.5392896562454474,3
baseline,snow,4,80.51333333333334,1.2781757834246987,3
baseline,snow,5,75.38,1.4501034445859329,3
baseline,zoom_blur,1,87.85000000000001,0.13076696830621784,3
baseline,zoom_blur,2,84.99333333333333,0.4994330118577779,3
baseline,zoom_blur,3,79.23666666666666,0.5577036249956879,3
baseline,zoom_blur,4,73.15333333333332,0.8696167738339257,3
baseline,zoom_blur,5,62.77333333333333,1.1238030669709618,3
cutmix_p05,brightness,1,95.45,0.35930488446443015,3
cutmix_p05,brightness,2,95.08333333333333,0.2315887159024275,3
cutmix_p05,brightness,3,94.42666666666666,0.26727015047200464,3
cutmix_p05,brightness,4,93.61,0.2291287847477968,3
cutmix_p05,brightness,5,91.21,0.2861817604250852,3
cutmix_p05,contrast,1,95.11333333333333,0.25696951829610537,3
cutmix_p05,contrast,2,92.58666666666666,0.21079215671682683,3
cutmix_p05,contrast,3,89.56666666666666,0.4764801499887844,3
cutmix_p05,contrast,4,82.91,0.9487360012142501,3
cutmix_p05,contrast,5,46.06333333333333,1.4558273707185636,3
cutmix_p05,defocus_blur,1,95.44666666666667,0.24785748593361678,3
cutmix_p05,defocus_blur,2,94.11333333333334,0.25146238950056915,3
cutmix_p05,defocus_blur,3,88.72333333333334,0.5259594407683346,3
cutmix_p05,defocus_blur,4,78.35666666666667,0.9636562319278171,3
cutmix_p05,defocus_blur,5,48.44,4.795946204869275,3
cutmix_p05,elastic_transform,1,91.28666666666668,0.0642910050732861,3
cutmix_p05,elastic_transform,2,90.83333333333333,0.20744477176668003,3
cutmix_p05,elastic_transform,3,86.48666666666668,0.16072751268321378,3
cutmix_p05,elastic_transform,4,79.54333333333334,0.41884762543594817,3
cutmix_p05,elastic_transform,5,74.86333333333333,0.4366157731155961,3
cutmix_p05,fog,1,95.43333333333334,0.20033305601756074,3
cutmix_p05,fog,2,94.41666666666667,0.38423083339749403,3
cutmix_p05,fog,3,92.61,0.24637369989510632,3
cutmix_p05,fog,4,89.71999999999998,0.5242136968832415,3
cutmix_p05,fog,5,71.92999999999999,1.16348614087148,3
cutmix_p05,frost,1,90.28333333333335,0.5081666393352964,3
cutmix_p05,frost,2,84.83333333333333,0.5529315810598379,3
cutmix_p05,frost,3,75.83,0.8316249154516644,3
cutmix_p05,frost,4,73.88,0.9525229656024029,3
cutmix_p05,frost,5,64.24,1.2529964086141672,3
cutmix_p05,gaussian_noise,1,73.53666666666668,2.6187274263147913,3
cutmix_p05,gaussian_noise,2,52.88999999999999,5.332644747215029,3
cutmix_p05,gaussian_noise,3,35.53,5.38868258482535,3
cutmix_p05,gaussian_noise,4,28.913333333333338,3.8358875548343874,3
cutmix_p05,gaussian_noise,5,24.11,3.176995435942582,3
cutmix_p05,glass_blur,1,57.13666666666666,3.4456397567553885,3
cutmix_p05,glass_blur,2,58.98333333333333,2.5416792349416024,3
cutmix_p05,glass_blur,3,62.086666666666666,2.510823238169771,3
cutmix_p05,glass_blur,4,47.923333333333325,3.8219672072550983,3
cutmix_p05,glass_blur,5,51.336666666666666,2.7943216231016295,3
cutmix_p05,impulse_noise,1,87.01666666666667,1.1719357206491066,3
cutmix_p05,impulse_noise,2,72.87666666666667,2.513191861624047,3
cutmix_p05,impulse_noise,3,58.78666666666667,2.7203186087907687,3
cutmix_p05,impulse_noise,4,39.07666666666666,3.859343640223471,3
cutmix_p05,impulse_noise,5,27.003333333333334,5.458427734552628,3
cutmix_p05,jpeg_compression,1,85.76666666666667,0.4950084174368531,3
cutmix_p05,jpeg_compression,2,79.59333333333333,0.18009256878986557,3
cutmix_p05,jpeg_compression,3,77.17666666666666,0.2402776172125276,3
cutmix_p05,jpeg_compression,4,73.54,0.5930430001273178,3
cutmix_p05,jpeg_compression,5,68.55333333333333,1.0066942601074698,3
cutmix_p05,motion_blur,1,91.0,0.35085609585697775,3
cutmix_p05,motion_blur,2,83.2,0.39686269665969287,3
cutmix_p05,motion_blur,3,74.26,0.3803945320321984,3
cutmix_p05,motion_blur,4,74.39,0.14798648586948415,3
cutmix_p05,motion_blur,5,65.67999999999999,0.5047771785649607,3
cutmix_p05,pixelate,1,93.37333333333333,0.12220201853216475,3
cutmix_p05,pixelate,2,87.09666666666665,0.11503622617824774,3
cutmix_p05,pixelate,3,80.36,0.46032597145935866,3
