seed,corruption,severity,accuracy_p05,accuracy_control,control,delta
43,snow,5,77.54,75.36,baseline,2.180000000000007
43,zoom_blur,1,89.01,88.0,baseline,1.0100000000000051
43,zoom_blur,2,84.23,85.57,baseline,-1.3399999999999892
43,zoom_blur,3,76.73,79.88,baseline,-3.1499999999999915
43,zoom_blur,4,67.15,74.07,baseline,-6.9199999999999875
43,zoom_blur,5,53.4,63.84,baseline,-10.440000000000005
44,brightness,1,95.86,94.85,baseline,1.0100000000000051
44,brightness,2,95.34,94.41,baseline,0.9300000000000068
44,brightness,3,94.61,94.0,baseline,0.6099999999999994
44,brightness,4,93.81,93.28,baseline,0.5300000000000011
44,brightness,5,91.51,90.6,baseline,0.9100000000000108
44,contrast,1,95.41,94.34,baseline,1.0699999999999932
44,contrast,2,92.83,91.18,baseline,1.6499999999999915
44,contrast,3,90.11,87.69,baseline,2.4200000000000017
44,contrast,4,84.0,78.58,baseline,5.420000000000002
44,contrast,5,47.73,33.88,baseline,13.849999999999994
44,defocus_blur,1,95.73,94.68,baseline,1.0499999999999972
44,defocus_blur,2,94.4,93.46,baseline,0.9400000000000119
44,defocus_blur,3,89.23,89.14,baseline,0.09000000000000341
44,defocus_blur,4,79.46,80.2,baseline,-0.7400000000000091
44,defocus_blur,5,53.94,54.55,baseline,-0.6099999999999994
44,elastic_transform,1,91.26,90.63,baseline,0.6300000000000097
44,elastic_transform,2,91.02,90.35,baseline,0.6700000000000017
44,elastic_transform,3,86.42,86.63,baseline,-0.20999999999999375
44,elastic_transform,4,79.06,79.93,baseline,-0.8700000000000045
44,elastic_transform,5,74.37,75.67,baseline,-1.2999999999999972
44,fog,1,95.66,94.54,baseline,1.1199999999999903
44,fog,2,94.84,93.59,baseline,1.25
44,fog,3,92.87,91.88,baseline,0.9900000000000091
44,fog,4,90.3,89.52,baseline,0.7800000000000011
44,fog,5,73.22,74.97,baseline,-1.75
44,frost,1,90.63,90.77,baseline,-0.14000000000000057
44,frost,2,85.22,85.41,baseline,-0.18999999999999773
44,frost,3,75.99,76.37,baseline,-0.38000000000000966
44,frost,4,74.09,74.47,baseline,-0.37999999999999545
44,frost,5,64.34,63.73,baseline,0.6100000000000065
44,gaussian_noise,1,73.09,77.09,baseline,-4.0
44,gaussian_noise,2,50.08,53.32,baseline,-3.240000000000002
44,gaussian_noise,3,31.31,33.81,baseline,-2.5000000000000036
44,gaussian_noise,4,25.51,26.4,baseline,-0.889999999999997
44,gaussian_noise,5,21.0,22.06,baseline,-1.0599999999999987
44,glass_blur,1,57.06,56.83,baseline,0.23000000000000398
44,glass_blur,2,59.09,58.18,baseline,0.9100000000000037
44,glass_blur,3,62.9,61.25,baseline,1.6499999999999986
44,glass_blur,4,47.4,46.42,baseline,0.9799999999999969
44,glass_blur,5,51.6,49.03,baseline,2.5700000000000003
44,impulse_noise,1,86.11,81.65,baseline,4.459999999999994
44,impulse_noise,2,70.75,67.19,baseline,3.5600000000000023
44,impulse_noise,3,55.94,54.95,baseline,0.9899999999999949
44,impulse_noise,4,34.83,30.66,baseline,4.169999999999998
44,impulse_noise,5,21.66,16.93,baseline,4.73
44,jpeg_compression,1,85.77,87.06,baseline,-1.2900000000000063
44,jpeg_compression,2,79.47,81.66,baseline,-2.1899999999999977
44,jpeg_compression,3,76.93,79.54,baseline,-2.6099999999999994
44,jpeg_compression,4,73.13,76.72,baseline,-3.5900000000000034
44,jpeg_compression,5,67.47,72.96,baseline,-5.489999999999995
44,motion_blur,1,91.39,90.93,baseline,0.45999999999999375
44,motion_blur,2,83.65,84.28,baseline,-0.6299999999999955
44,motion_blur,3,74.63,75.07,baseline,-0.4399999999999977
44,motion_blur,4,74.46,75.17,baseline,-0.710000000000008
44,motion_blur,5,66.22,66.48,baseline,-0.2600000000000051
44,pixelate,1,93.48,92.81,baseline,0.6700000000000017
44,pixelate,2,87.21,88.1,baseline,-0.8900000000000006
44,pixelate,3,80.06,83.41,baseline,-3.3499999999999943
44,pixelate,4,56.16,65.48,baseline,-9.320000000000007
44,pixelate,5,40.58,46.04,baseline,-5.460000000000001
44,shot_noise,1,82.05,85.99,baseline,-3.9399999999999977
44,shot_noise,2,70.36,75.08,baseline,-4.719999999999999
44,shot_noise,3,45.19,48.87,baseline,-3.6799999999999997
44,shot_noise,4,37.79,39.15,baseline,-1.3599999999999994
44,shot_noise,5,26.23,28.18,baseline,-1.9499999999999993
44,snow,1,91.79,89.59,baseline,2.200000000000003
44,snow,2,83.44,81.31,baseline,2.1299999999999955
44,snow,3,86.21,83.41,baseline,2.799999999999997
44,snow,4,83.71,81.7,baseline,2.009999999999991
44,snow,5,78.52,76.84,baseline,1.6799999999999926
44,zoom_blur,1,89.22,87.79,baseline,1.4299999999999926
44,zoom_blur,2,85.25,84.7,baseline,0.5499999999999972
44,zoom_blur,3,78.07,78.89,baseline,-0.8200000000000074
44,zoom_blur,4,70.18,73.05,baseline,-2.8699999999999903
44,zoom_blur,5,57.39,62.88,baseline,-5.490000000000002
42,brightness,1,95.19,95.76,cutmix_p1,-0.5700000000000074
42,brightness,2,94.89,95.25,cutmix_p1,-0.35999999999999943
42,brightness,3,94.12,94.72,cutmix_p1,-0.5999999999999943
42,brightness,4,93.36,93.74,cutmix_p1,-0.37999999999999545
42,brightness,5,90.94,90.54,cutmix_p1,0.3999999999999915
42,contrast,1,94.97,95.18,cutmix_p1,-0.21000000000000796
42,contrast,2,92.47,92.39,cutmix_p1,0.0799999999999983
42,contrast,3,89.22,89.24,cutmix_p1,-0.01999999999999602
42,contrast,4,82.46,82.25,cutmix_p1,0.20999999999999375
42,contrast,5,45.42,43.67,cutmix_p1,1.75
42,defocus_blur,1,95.34,95.51,cutmix_p1,-0.1700000000000017
42,defocus_blur,2,94.01,94.17,cutmix_p1,-0.1599999999999966
42,defocus_blur,3,88.18,88.72,cutmix_p1,-0.539999999999992
42,defocus_blur,4,77.93,78.92,cutmix_p1,-0.9899999999999949
42,defocus_blur,5,45.13,47.14,cutmix_p1,-2.009999999999998
42,elastic_transform,1,91.24,91.57,cutmix_p1,-0.3299999999999983
42,elastic_transform,2,90.61,90.89,cutmix_p1,-0.28000000000000114
42,elastic_transform,3,86.37,85.69,cutmix_p1,0.6800000000000068
42,elastic_transform,4,79.77,78.41,cutmix_p1,1.3599999999999994
42,elastic_transform,5,75.2,73.72,cutmix_p1,1.480000000000004
42,fog,1,95.28,95.36,cutmix_p1,-0.0799999999999983
42,fog,2,94.32,94.25,cutmix_p1,0.06999999999999318
42,fog,3,92.38,92.64,cutmix_p1,-0.2600000000000051
42,fog,4,89.28,89.33,cutmix_p1,-0.04999999999999716
42,fog,5,71.61,71.87,cutmix_p1,-0.2600000000000051
42,frost,1,90.52,90.47,cutmix_p1,0.04999999999999716
42,frost,2,85.08,85.36,cutmix_p1,-0.28000000000000114
42,frost,3,76.57,75.48,cutmix_p1,1.0899999999999892
42,frost,4,74.71,73.27,cutmix_p1,1.4399999999999977
42,frost,5,65.44,63.42,cutmix_p1,2.019999999999996
42,gaussian_noise,1,76.35,63.44,cutmix_p1,12.909999999999997
42,gaussian_noise,2,59.04,32.04,cutmix_p1,27.0
42,gaussian_noise,3,41.6,16.78,cutmix_p1,24.82
42,gaussian_noise,4,33.07,13.7,cutmix_p1,19.37
42,gaussian_noise,5,27.35,12.0,cutmix_p1,15.350000000000001
42,glass_blur,1,60.62,53.94,cutmix_p1,6.68
42,glass_blur,2,61.47,56.34,cutmix_p1,5.1299999999999955
42,glass_blur,3,64.09,59.92,cutmix_p1,4.170000000000002
42,glass_blur,4,51.98,44.4,cutmix_p1,7.579999999999998
42,glass_blur,5,53.99,49.05,cutmix_p1,4.940000000000005
42,impulse_noise,1,86.6,85.93,cutmix_p1,0.6699999999999875
42,impulse_noise,2,72.23,69.24,cutmix_p1,2.990000000000009
42,impulse_noise,3,59.06,54.26,cutmix_p1,4.800000000000004
42,impulse_noise,4,42.37,34.35,cutmix_p1,8.019999999999996
42,impulse_noise,5,32.57,20.27,cutmix_p1,12.3
42,jpeg_compression,1,86.26,84.27,cutmix_p1,1.990000000000009
42,jpeg_compression,2,79.8,77.36,cutmix_p1,2.4399999999999977
42,jpeg_compression,3,77.41,73.46,cutmix_p1,3.950000000000003
42,jpeg_compression,4,74.22,69.4,cutmix_p1,4.819999999999993
42,jpeg_compression,5,69.46,64.12,cutmix_p1,5.339999999999989
42,motion_blur,1,90.9,91.3,cutmix_p1,-0.3999999999999915
42,motion_blur,2,82.9,82.87,cutmix_p1,0.030000000000001137
42,motion_blur,3,74.28,74.17,cutmix_p1,0.10999999999999943
